code,code desc.,service,make,car name,car code,model name,year start,year end,group,short name,qs code,part code,price,duracao,description
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HYU,HYUNDAI,SAN06,SANTA,2006,2012,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HYU,HYUNDAI,SAN86,SANTA,1986,,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HYU,HYUNDAI,SON10,SONATA,2010,2014,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HYU,HYUNDAI,SON98,SONATA,1998,2004,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HYU,HYUNDAI,TER03,TERRACAN ,2003,2007,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,ISU,ISUZU,REL86,RELAY ,1986,1995,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,KIA,KIA,CER04,CERATO ,2004,2008,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,KIA,KIA,RIO02,RIO,2002,2005,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,KIA,KIA,RIO05,RIO,2005,2011,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,KIA,KIA,SHU99,SHUMA,1999,2002,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,KIA ,KIA,PIC04,PICANTO ,2004,2011,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,62687,626,1987,1992,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,62698,626,1998,2002,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,323-84,323-84,1984,,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,323-98,323-98,1998,,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,ATE03,ATENZA,2003,2008,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,AXE03,AXELA,2003,2009,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,AXE08,AXELA,2008,2013,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,DEM03,DEMIO,2003,2007,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,DEM07,DEMIO,2007,2014,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,DEM98,DEMIO,1998,2002,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,EST95,ESTINA ,1995,2000,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,ETU01,ETUDE ,2001,2004,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,ETU99,ETUDE ,1999,2000,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,FAM99,FAMILIA,1999,2003,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,MAZ,MAZDA,VER03,VERISA ,2003,2011,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,ALM01,ALMERA ,2001,2006,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,ALM98,ALMERA ,1998,2000,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,ATL95,ATLAS ,1995,1999,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,MAR02,MARCH,2002,2010,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,MAR07,MARCH,2007,2010,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,MAR92,MARCH,1992,2002,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,MIC02,MICRA,2002,2010,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,PRI02,PRIMERA,2002,2008,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,PRI93,PRIMERA,1993,1996,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,PRI98,PRIMERA,1998,2001,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,PUL80,PULSAR,1980,1986,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,SAB92,SABRE,1992,1995,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,SEN13,SENTRA,2013,2019,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,SEN87,SENTRA,1987,1990,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,SEN97,SENTRA,1997,1999,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,SUN11,SUNNY,2011,2024,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,SUN90,SUNNY,1990,1993,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,TER99,TERRANO ,1999,2006,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,NIS,NISSAN,TIID04,TIIDA,2004,2012,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,OPE,OPEL,AST93,ASTRA,1993,1998,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,OPE,OPEL,AST99,ASTRA,1999,2004,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,OPE,OPEL,COR98,CORSA,1998,2000,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,OPE,OPEL,CORS08,CORSA,2008,2014,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,OPE,OPEL,OME94,OMEGA,1994,2003,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,PEU,PEUGEOT,206,206,1998,2013,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,SUZ,SUZUKI,FOR98,FORESTER,1998,2002,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,SUZ,SUZUKI,JIM08,JIMMY ,2008,2018,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,SUZ,SUZUKI,SWI08,SWIFT,2008,2010,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,SUZ,SUZUKI,SWI22,SWIFT,2022,2024,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,SUZ,SUZUKI,SX406,SX4,2006,2014,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,SUZ,SUZUKI,VITA02,GRAND VITARA,2002,2005,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,SUZ,SUZUKI,VITA95,GRAND VITARA,1995,,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,SUZ,SUZUKI,VITA99,GRAND VITARA,1999,2005,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,ALL01,ALLION,2001,2007,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,AQU11,AQUA,2011,2021,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,AVA07,AVANZA,2007,2011,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,AVE97,AVENSIS,1997,2003,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,AXI06,AXIO,2006,2011,PNEU,TY,1,QSLE-TY001,800,30,
